"","LTED_0_rep1","LTED_0_rep2","LTED_0_rep3","LTED_10_rep1","LTED_10_rep2","LTED_10_rep3","LTED_120_rep1","LTED_120_rep2","LTED_120_rep3","LTED_2_rep1","LTED_2_rep2","LTED_2_rep3","LTED_30_rep1","LTED_30_rep2","LTED_30_rep3","LTED_5_rep1","LTED_5_rep2","LTED_5_rep3","LTED_60_rep1","LTED_60_rep2","LTED_60_rep3","TAMR_0_rep1","TAMR_0_rep2","TAMR_0_rep3","TAMR_10_rep1","TAMR_10_rep2","TAMR_10_rep3","TAMR_120_rep1","TAMR_120_rep2","TAMR_120_rep3","TAMR_2_rep1","TAMR_2_rep2","TAMR_2_rep3","TAMR_30_rep1","TAMR_30_rep2","TAMR_30_rep3","TAMR_5_rep1","TAMR_5_rep2","TAMR_5_rep3","TAMR_60_rep1","TAMR_60_rep2","TAMR_60_rep3","WT_0_rep1","WT_0_rep2","WT_0_rep3","WT_10_rep1","WT_10_rep2","WT_10_rep3","WT_120_rep1","WT_120_rep2","WT_120_rep3","WT_2_rep1","WT_2_rep2","WT_2_rep3","WT_30_rep1","WT_30_rep2","WT_30_rep3","WT_5_rep1","WT_5_rep2","WT_5_rep3","WT_60_rep2","WT_60_rep1","WT_60_rep3"
"ARHGEF5_Y656",15.9003950225987,NA,14.1165120465077,13.9592712988127,15.192339227522,NA,NA,NA,15.3659561753407,14.5759235780909,15.549957649098,15.7359372050014,14.1214896725331,14.9616390016209,NA,NA,16.4979963912655,15.5322273845881,NA,NA,14.8144356946395,NA,16.8327750289791,NA,NA,16.1207969329436,NA,12.4812466845861,17.2140139542749,15.1749028192503,15.5755532798378,NA,NA,NA,16.4066867838296,NA,15.5699911468897,NA,NA,13.3817490284754,16.6422583339331,NA,15.7798288387127,NA,16.2347044483163,NA,NA,15.4508675558956,NA,16.441112733495,15.6272804432138,NA,NA,NA,14.7834426671178,NA,14.9559497731168,NA,NA,NA,15.5110813812453,15.1532212599197,NA
"LOC122526780_S160",11.9962359020138,13.5905843791468,11.8447302327029,12.7127066886697,12.9766754916749,12.480740248057,12.3541561938743,NA,11.7659916544499,NA,13.2314017010575,12.0616863672654,NA,NA,12.6893663218373,12.2207398305481,13.2091362422007,13.0381041893806,12.456155416891,NA,12.0794402585729,12.750435549428,13.0055191747545,12.7093201023454,12.922017497112,13.623583391269,13.564618825176,12.661180530593,13.2503618197393,12.5818921299095,13.1802857642218,13.7700114075748,NA,13.0032274235482,13.3928208660397,13.5207726198902,13.352682010462,14.1151263841701,13.8000594363697,12.7150764524171,NA,13.1654817166533,11.9182996562205,12.5724712755122,NA,12.5271232801327,13.2659518715542,12.0618570392923,11.9875704922667,12.5447903065803,11.4677192749809,NA,12.4242343290629,12.3410008190142,12.1464859133517,12.994800270871,NA,13.297136002868,13.3713510834011,NA,12.5273870444997,NA,12.2261122898572
"E2F8_S71",17.9780754532043,17.2349677185718,18.031245628252,18.037916958612,17.1889872377344,17.7811610060493,18.4788165240563,17.7225651280439,17.7172234269854,17.9067398409648,16.9255123617154,17.9999060069676,18.0152174731658,17.0196292162821,17.75865823516,17.6336558120948,16.9208620142073,17.7745186124344,18.5610512270816,17.0179722938931,18.0787464007117,15.9314240908843,15.1909632401601,16.4049115797547,15.8867642093336,15.683428751351,15.9809702687367,15.8797513642436,15.1972664629197,16.3222853606523,15.2256485723672,15.5926507499427,NA,15.9866848068538,15.3620762047649,15.6684266525057,15.3834234046981,15.6599052564966,15.9874438838561,15.9790611039804,15.0338504858287,15.9925953711827,17.2380614246137,16.7472314909028,17.2003877138673,17.3320783620769,16.2737612737386,17.1687030436876,17.5724834216455,16.4940185310223,17.2611471302798,17.1098142952831,16.4795084560881,17.1796321857275,17.1600857262121,16.5481692399021,17.224700332869,17.1183835566782,16.5603746454227,17.0445552605885,16.8683203792074,17.5277713375593,17.3143515741931
"E2F8_S102",16.1288231714463,16.8141085065168,16.1786974285985,16.3585685804992,16.9452606103698,16.311691131547,16.3853994638265,17.0596054896765,16.486380285932,15.3220169844009,16.8701153348431,16.2016397327537,16.2433603304593,16.9000599439398,16.466905697493,16.2152593254959,16.988530662913,16.2147520833625,16.4297493518247,16.8671891526833,16.308631186701,14.6293455209463,15.8346578935571,14.6840280215309,14.595125304382,15.3017411776392,14.8989757955628,14.6956152645333,15.3589258873591,14.9129360236139,13.4253380834233,15.676802857795,12.0673314048146,14.5619237594866,15.8109536161097,15.0222962522056,14.3321523228487,15.9686542003156,14.7775731471703,14.4750931649161,15.652636649343,15.0644044125142,14.9518411531381,15.8521071324709,14.9618854276897,15.2148998112988,15.9945299921565,15.1578715336759,15.5851317945019,16.1432543153449,15.4865110647186,15.2908672756572,16.2564628535246,15.130953720964,15.4965542811258,15.9667403439326,15.3112023606263,15.3888401625342,15.8221980921518,15.1392849134819,16.0708272766023,15.5030206934585,15.2743624875849
"E2F8_S664",13.77597876844,13.3030384327871,14.1025194778433,14.4171989474501,13.2508830590006,13.870486025421,14.4881475807987,13.9097796342807,14.2139530723749,14.2384201459328,13.2383809459553,14.0497261399943,13.6624989459462,13.1507595939702,14.1697608156793,13.7215314702036,13.6064351252259,14.0230475645249,14.1564758833998,13.3014678245077,13.8047530944339,NA,NA,NA,NA,NA,NA,11.7742034912209,NA,NA,NA,NA,NA,NA,NA,NA,11.823946558065,NA,NA,NA,NA,NA,13.9868377290294,13.7005889268127,13.9170996774059,14.0664660398356,13.3069606482879,14.3014973030672,14.3496629353272,13.6534370862425,14.3733749282588,14.0188144525436,13.452469044698,14.104854010157,14.0366410116479,13.4963726084928,14.2700758603041,13.8413469372064,13.4953594513488,14.1943973122625,13.7609871321443,14.2396964414756,14.3555328267245
"E2F8_S358",13.8772643998194,NA,NA,16.4538117170446,NA,12.3845224123862,NA,15.9555887120165,NA,16.5138715629439,NA,13.6607266680023,15.6324425785125,NA,NA,15.2480577790317,NA,13.0852793917013,14.4433217785174,13.2670665761249,15.6333054976391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8643813443795,NA,NA,NA,NA,12.8182194691646,15.4021998530965,13.1977613046138,NA,12.6639538325258,NA,14.3891368478332,15.18331526318,15.1487501234675,15.1991595710033,NA,14.7560726287821,15.1223906861067,NA,15.8665371223121,14.4274011858947
"UBA6_S951",16.2397691465077,16.1406622789438,15.7847392929105,NA,16.2105620901043,15.9436817834285,16.310534093249,NA,15.9670117249336,15.9896571681393,16.0472631900397,15.822242596378,16.0144979534155,16.0275833437986,16.0634222252729,16.0279452034405,15.882480962358,16.1635783570737,16.2021081310418,16.2758624934567,16.0911741074389,13.6237526376594,15.4231871648774,14.0975149182283,15.250448003539,15.4948507005336,13.830536345087,15.0313423238052,15.2641304044765,15.2941724887028,14.1630335577616,15.6916575341535,NA,14.8526939748391,15.4213488182069,14.2699531768938,13.8016034052305,15.4583119061347,NA,14.7738132942253,15.0831409824983,14.1621125295025,14.965659215524,15.9073865861668,16.0185280369425,15.10789859974,15.606804177569,15.2330658112393,15.0819838042346,15.7240827663493,15.6787047512721,14.5021155119603,15.8414997311767,15.6320621976785,15.1754892732172,15.8010032601323,15.4243335232391,15.1114821186927,14.4725619005783,15.5516606633639,15.7642773840369,15.098622905479,15.7554710579134
"UBA6_S36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3405740523661,NA,NA,NA,NA,13.2071049665923,NA,NA,NA,14.7202681875103,12.4587741401079,NA,NA,NA,16.3805991976799,NA,NA,NA,18.3798987743461,NA,NA,NA,NA,17.0044397773921,18.4673905467036,NA,14.5447067210709,14.7037251899766,NA,16.9611823658996,14.7767848536904,12.5226716388448,14.3773221047886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.175451439056,13.8545669070607,NA,NA,NA,NA,NA
"ESYT2_S739",18.5634954515379,17.7675437372462,19.2525436587587,18.2372853410577,17.4784337788313,18.745309017234,18.1842555911024,16.4547483046874,19.0708551881258,18.1057741167885,17.9630268926161,18.6270767266053,18.2909917302451,17.9013864055343,18.6170733146384,18.501666323162,17.8478890568818,18.7545220142287,18.413513982005,NA,18.7724214877422,19.4469136602693,18.9262681713742,19.7694870928976,19.5310306340213,18.5342717117534,20.1264367311964,19.9749882589281,18.5820544469009,20.3200714134792,20.7817919616165,19.244765046239,NA,19.7146881060531,18.5539942357612,19.7945323204167,21.2469239406824,18.9284782398666,19.8621462074396,20.2696869307048,18.8485690271652,19.805491546282,19.0477868497183,18.754697080241,19.8380126291239,19.7989508407866,18.7468419977183,19.7838343983832,19.424163893868,18.7005220863344,19.9204564621603,19.5413155343006,18.1774291858277,19.6552639183959,18.9653218547232,19.1447236408743,19.8025715610859,19.4124474136073,18.4049704287754,19.8483215831731,18.7438630924866,19.7056288372342,19.9937812838299
"ESYT2_S738",NA,NA,17.3397645923056,NA,NA,17.2821905439682,NA,NA,14.8185122366509,NA,NA,NA,NA,NA,NA,NA,16.1976113740455,17.2874166780209,NA,NA,NA,NA,NA,18.7962403078227,19.2639215889366,NA,NA,NA,17.9776091540666,18.541576967763,17.9420636161762,18.2059961608558,NA,NA,18.2881601447081,19.0800413215972,20.2878441526688,16.9119460640919,19.4988547688386,NA,NA,19.1489535028362,16.6861190972373,NA,15.386041414031,NA,NA,18.0266311772785,17.1491042475206,NA,NA,NA,NA,NA,NA,NA,17.7162782804917,NA,NA,NA,NA,17.5662733154579,NA
"ESYT2_S736",NA,NA,NA,NA,NA,NA,16.9890274473198,NA,NA,NA,NA,NA,17.2801014373723,NA,NA,NA,NA,NA,NA,NA,NA,17.1619237813837,NA,NA,NA,NA,NA,17.6805526573542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8977754357663,17.9446276099401,17.7701352059001,18.3448096444441,17.6810355139572,NA,18.1804211449722,17.6730667712002,NA,18.2779122225515,NA,NA,17.9659569912904,17.6451145549767,NA,18.0849363301438,NA,NA,NA,17.5674959330596,NA
"ESYT2_S743",16.2722469373624,13.536820817452,16.1443637539886,16.5231195163319,14.9022999090867,16.7822281536746,16.2550254622313,NA,15.8952299216661,16.8902584503211,NA,16.1885267313582,16.4893247453075,14.1039766464353,16.0781343315939,16.800504684018,15.4025656428994,16.5960573284264,16.1595950543977,13.3953938857628,16.2707821519963,16.7696762273552,15.622650413456,16.5514328435886,17.384837065343,16.3889057194638,17.1673058577742,17.036535703544,NA,16.6257493140397,17.5090419005615,14.9056345165871,15.8842508350765,17.1102504412587,15.6358519249265,16.7869458185362,17.2091343249774,15.5996978171776,17.0037216244978,16.6568164696232,15.7911766555882,16.5856068350013,17.5494733215112,16.3064744887701,17.7476869899061,17.7862334221121,16.7952952388768,17.5257508648129,17.4240835663866,15.0154140776623,17.5415347819862,17.7059776432299,14.6627705244668,17.5310976375628,16.9069055775507,16.0458875329014,17.2433369085708,17.8850842537814,16.3909492689185,17.7258906574915,16.224590779544,17.0720120536186,17.3203828006977
"ESYT2_S669",NA,15.526797918734,15.9400356720811,15.9590949067408,16.0264012671622,16.1076798382179,NA,15.6859160177963,NA,16.9273508652895,15.5988465585581,16.3351623718321,16.3420220370125,16.2706658021993,15.7554144956541,NA,NA,15.619257371061,16.3313250526783,17.1972486958856,NA,NA,NA,NA,NA,NA,17.056687312177,17.6274986524618,16.6602894024536,17.1127787564845,NA,16.3758169961759,NA,NA,16.3322817848998,17.0454831773748,NA,16.227788728911,NA,NA,NA,NA,NA,15.9515674880237,NA,NA,NA,16.7834077250669,16.8160411151744,16.1034364405082,17.0306074051757,NA,NA,NA,NA,NA,NA,NA,16.3079915511118,NA,NA,NA,NA
"ESYT2_S761",21.4164623972637,21.8373162662231,20.9741346192893,20.7799542234882,21.1790514183652,20.8130215955418,21.2537740486174,20.2608421741805,21.1441876513755,NA,21.65837815446,20.8992167765964,21.4604457428164,21.5942466208741,20.1775021693062,21.4115811934911,21.4639257995639,20.6833406780174,21.1365449029942,19.9873638877998,20.8691418447127,22.2940873898802,23.1158383833139,22.566060756733,22.2481390907427,22.8500851116311,22.3051428774195,21.7456961351176,23.3921693580891,22.6012456442702,21.9174532870555,23.1048734013057,23.2782205781832,21.5695795465836,23.1270890022853,22.3736399148933,21.7374566777849,23.1203636877829,22.5392238350696,22.1897313206449,23.2742939203673,21.8601355769602,22.7836874583376,23.1563720084353,22.2893336640494,22.481620013735,23.1202969356099,22.3916605724081,22.3579076835125,23.6138307972471,22.42005834875,22.7734435210899,21.2567297481728,22.3135200399717,22.8570663184723,23.2171923315254,22.4401643138481,22.7211447128487,23.0582677461563,22.2610401816628,23.2007445935265,22.4623164850557,22.2868257024978
"ESYT2_S758",21.4164623972637,21.8373162662231,20.9741346192893,20.7799542234882,21.1790514183652,20.8130215955418,21.2537740486174,20.2608421741805,21.1441876513755,NA,21.65837815446,20.8992167765964,21.4604457428164,21.5942466208741,20.1775021693062,21.4115811934911,21.4639257995639,20.6833406780174,21.1365449029942,19.9873638877998,20.8691418447127,22.2940873898802,23.1158383833139,22.566060756733,22.2481390907427,22.8500851116311,22.3051428774195,21.7456961351176,23.3921693580891,22.6012456442702,21.9174532870555,23.1048734013057,23.2782205781832,21.5695795465836,23.1270890022853,22.3736399148933,21.7374566777849,23.1203636877829,22.5392238350696,22.1897313206449,23.2742939203673,21.8601355769602,22.7836874583376,23.1563720084353,22.2893336640494,22.481620013735,23.1202969356099,22.3916605724081,22.3579076835125,23.6138307972471,22.42005834875,22.7734435210899,21.2567297481728,22.3135200399717,22.8570663184723,23.2171923315254,22.4401643138481,22.7211447128487,23.0582677461563,22.2610401816628,23.2007445935265,22.4623164850557,22.2868257024978
"ESYT2_S755",NA,17.2817735170563,NA,NA,16.2676598881508,15.3518011291812,NA,NA,NA,NA,17.3438740554396,16.1259381148276,NA,16.1830310107272,NA,NA,17.2365451218262,NA,14.6901001090048,16.7191077188549,NA,NA,18.778125920641,NA,17.7586013362666,19.4179347375196,16.5330009936266,NA,18.3841825932797,16.8220144087014,NA,17.3435439539891,NA,18.1411666464543,17.0650261130562,NA,NA,17.7770579780283,17.672806473895,17.652377295507,17.7826625135701,18.6455061076146,NA,NA,NA,NA,NA,16.0490102148224,NA,18.7246908157044,15.9922378996178,NA,18.7279812271301,NA,17.652274334315,17.7646039073384,NA,15.1381337973232,19.2286475836395,NA,19.4563608940071,16.7409069667916,17.4634547552051
"ESYT2_S691",15.6822735606559,NA,15.9130902045031,15.6156074167406,NA,16.025004928348,15.6958029233123,15.0747542930848,NA,NA,NA,15.8592827281804,NA,NA,15.6383732739555,16.2091454061085,NA,15.9356742289447,15.4197793505689,NA,15.7648910625548,17.7901434163386,16.4978289066566,19.784928484022,19.2777407594588,16.1384036263916,19.8300073739746,18.4279150112626,16.5746909360314,17.8953086566657,19.0234050584057,17.6185274009795,NA,18.2690197545692,16.6786844852051,18.4266168182206,19.9517548753563,18.1954900355357,20.5201357347216,17.8295005842413,17.2191622537562,19.5474042804211,17.5346332930346,16.1708635446234,17.3821320934317,16.9862741461216,16.3562553158538,17.5215231445838,17.1059630527523,16.0060689582423,16.768224651765,16.6743694059843,16.4148828336177,17.0812189227252,17.3113064203174,16.3273957176052,17.165234483389,16.7563974854513,16.4122339527775,16.9820691222761,16.1292792515045,17.1816604747888,17.0232490627168
"ESYT2_S693",NA,NA,15.8357931040364,NA,NA,NA,NA,NA,NA,NA,NA,16.4564449526127,NA,NA,NA,NA,NA,16.2687050464476,NA,NA,15.7908377022386,NA,NA,NA,NA,NA,NA,NA,15.6123306540365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0581955744243,NA,17.744179835883,15.9576198605366,15.9048011855281,16.9353881385221,NA,18.5953463426342,18.936404318846,NA,18.1908848905802,17.5410887101913,NA,18.4057968133839,17.5322714358573,NA,17.648359417906,17.6317086810382,17.6638817247739,18.3377053351709,15.7381947627371,18.7986105874627,18.3615023064988
"MED19_S226",21.9725356124678,22.394792248094,21.8091104181367,21.7991451737883,22.4830207421348,21.823081935701,21.847160493028,22.5800441738483,21.4000483930441,21.4807688761237,22.2903282569639,21.859196997399,21.7666876554433,22.0016372634133,21.6967331651289,21.8028747269596,22.2356879879009,21.7924026503737,21.6488003280533,22.3161116677104,21.7177792519362,21.4226297588507,21.4805867013747,21.1329683805085,20.8185856757225,21.6451481955216,21.3271008775968,21.4729929855702,22.0686670706526,21.3431699578213,21.3832251249938,21.7730218328618,20.1906249762551,20.9519098120806,21.4942602880522,21.2337884490559,21.1791476658942,21.5659518277698,21.0433635602089,20.9837313190537,21.9291461110015,21.1986425332979,22.1997637371299,22.420960780061,22.0617426917571,22.142855719135,22.5013878554138,22.0899104938261,22.3159010961087,22.3161607714279,22.0375338008772,22.1467543907867,22.5571009030842,22.1737471674603,22.228355612371,22.5828342547097,22.0471827390603,22.1433418089715,22.6176960337513,22.0187597060926,22.5867548300589,21.9979288311667,22.10369031178
"BLTP3B_S989",16.0402436146504,18.826249296028,18.6707990422113,18.6581810272897,18.5990452986638,18.7767352536225,18.277003391664,18.9286795582799,18.5193361539531,18.6987284545021,18.7329442744949,18.8078112545745,18.5371714436849,18.5652810722742,18.5163313044186,18.6056132503914,18.8072916616545,18.6409039796102,18.4432613115814,18.7805622435196,18.4248647048436,19.2216637386456,19.2611039136143,19.409224844386,19.0774031867654,19.1793266714159,19.0791318813137,19.1151382642051,19.0602856934197,19.1630731777968,18.4667084700825,19.3024480364198,18.3951413079066,18.5809666164096,19.3410552098716,19.0697372133854,18.7231378788912,19.1608205797034,19.0257721324138,19.1214928350999,19.2578908624689,19.084368964185,18.8861507533456,19.0227130659354,18.9240537014031,NA,18.876442875939,18.8610171872044,18.844955758533,19.188210857101,18.9506281508144,18.8118258681614,NA,19.0141517054237,18.7828897886097,18.9121414230161,18.9511824509973,18.7077863602234,19.0340421805934,18.815902170997,19.0894259277155,18.7827282804917,19.0555532394585
"BLTP3B_S414",16.5413879681498,17.1088494029034,17.5377411781808,16.2343923198913,NA,NA,NA,NA,NA,NA,NA,16.7241221957014,17.3745135024603,NA,15.8533422284867,17.4444723078414,15.3908314975934,NA,17.1032691431854,NA,NA,NA,18.1268335976422,NA,15.9961112996406,17.2940440775521,16.9217174571264,14.6028243991608,17.3545335215448,17.4352476887026,14.6194859788187,18.2502718442471,NA,17.0592247166172,16.9898052912458,17.0334802173429,16.3410674531,18.0018426538171,NA,16.7414958537791,15.3845286852588,NA,NA,15.3908367855513,15.8312866393206,16.7598217347886,17.6542077019443,17.3242812250699,NA,15.8561602370493,17.3381808652287,NA,16.5294894336697,14.2441114810335,NA,17.8446038463318,15.2968745708699,NA,17.5725115869626,18.0735588460147,16.5949139164091,NA,NA
